customer_id,f_c_name,l_c_name,contact_number,customer_address
1,Guinevere,Burley,289-550-9219,6631 Bunker Hill Hill
2,Lari,Dutnell,211-879-1512,67197 Banding Lane
3,Blondell,Everit,731-797-9564,63699 Anzinger Street
4,Mary,Glasman,253-367-7923,3 Laurel Court
5,Prentice,Whapham,179-872-0144,188 Transport Crossing
6,Rosamond,Fairholme,222-498-9844,30 Del Mar Center
7,Sylvan,Sedgemore,757-305-6498,708 Grayhawk Road
8,Desmund,Petlyura,419-851-6416,57 Fremont Way
9,Olvan,Ambrosi,237-674-8714,8975 Mandrake Park
10,Mufi,Haining,258-473-4016,68007 Fulton Junction
11,Garrott,Finnie,950-186-0111,871 Wayridge Crossing
12,Wallie,Mitskevich,182-895-6778,22 Glacier Hill Road
13,Alejandrina,Wiz,679-170-0556,5764 Sutteridge Circle
14,Berta,Kolakowski,626-299-9827,8046 Melrose Point
15,Shirline,Stitt,397-109-5935,4486 Golf Alley
16,Anallese,Gourlay,666-958-7704,7 La Follette Road
17,Chrissy,Camus,322-618-5718,06 Eastwood Circle
18,Kaitlin,Mellody,245-708-4020,12 Caliangt Pass
19,Ashil,Mumby,444-159-8065,459 Lake View Way
20,Sholom,Patience,716-534-4597,503 Fair Oaks Plaza
21,Brnaby,Gabb,176-331-5414,3 Cherokee Circle
22,Dinah,Blazey,976-515-8311,10590 Walton Hill
23,Carree,Basford,320-136-4519,92 Petterle Drive
24,Nicolis,Reyson,735-492-4563,20499 Nevada Center
25,Misty,Luetchford,316-191-6023,10404 Dawn Place
26,Lazarus,Ickowics,839-263-1775,982 Spohn Drive
27,Harlin,Rockliffe,912-720-1485,9660 Dovetail Terrace
28,Felic,Peotz,766-828-8784,6 Maywood Park
29,Mommy,Kenwell,580-388-7709,47941 Southridge Drive
30,Iseabal,Sphinxe,167-927-6025,7 Sutteridge Avenue
31,Thaddus,Gravenall,910-287-5426,851 Dorton Pass
32,Jess,Benezet,398-412-0168,8 Lerdahl Road
33,Sig,Heelis,638-242-1123,937 Helena Drive
34,Elaina,Cankett,601-876-3179,357 Lunder Alley
35,Larina,Plumstead,296-205-8296,37 Springview Way
36,Adamo,Restill,234-771-9741,599 Texas Park
37,Elka,Krause,286-865-7784,3704 Little Fleur Way
38,Sibylla,Joincey,430-403-5549,12071 Algoma Road
39,Carin,Shilton,770-304-7640,1 Susan Way
40,Sergei,Mac Geaney,189-821-8819,36 Village Circle
41,Fenelia,Hartil,999-589-3401,0 Ridge Oak Street
42,Anthiathia,Paull,109-952-0828,277 Eastlawn Center
43,Jodee,Kinglake,334-372-2642,436 Ruskin Lane
44,Mord,Wozencroft,126-763-9208,8085 Fieldstone Lane
45,Starr,Wilcock,919-908-9014,91 8th Center
46,Care,Lawrenz,689-714-1618,36537 Utah Parkway
47,Inna,Osman,976-430-6441,1 Heath Road
48,Deloria,Brobak,907-647-8726,432 Waywood Court
49,Gretna,Walters,839-664-9977,25 Schurz Junction
50,Shaine,Belle,325-679-8709,10 Eagle Crest Hill
51,Reggi,Lynds,262-903-2264,8 School Court
52,Leighton,Audrey,872-506-4075,59 Mayer Court
53,Aurie,Horwell,303-356-2869,72 Tomscot Avenue
54,Swen,Colaco,776-102-8865,294 Columbus Terrace
55,Terrell,Brunnstein,463-648-8882,59810 Loeprich Place
56,Florina,Morforth,390-137-0866,52 Lerdahl Court
57,Sheba,Shayes,317-237-0098,71 Washington Parkway
58,Caryn,Lothean,984-468-2077,329 Holy Cross Terrace
